"request_uri","total_count","avg_uri_length","block_count"
"/","153","1.0","153"
"/index.php","3","10.0","3"
"/login","2","6.0","2"
"/SDK/webLanguage","2","16.0","2"
"/vgn/a%63/de%6ce%74e","1","20.0","1"
"/%73it%65m%69nd%65%72/s%6d%61dm%69n%2e%68%74m%6c","1","48.0","1"
"/%63g%69-%391%34/fp%73r%76ad%6d%2e%65x%65","1","41.0","1"
"/webto%70/w%64%6b%2fs%61mp%6ces/%69%6e%64e%78%2ej%73p","1","53.0","1"
"/scg%69-%62in/%75%70l%6fa%64e%72%2e%65%78e","1","42.0","1"
"/%76g%6e%2fj%73%70%2ferr%6f%72%70age","1","36.0","1"
"/%6d%69%64%69%63a%72t%2e%6dd%62","1","31.0","1"
"/%73%68o%70%70%69%6e%67%330%30.md%62","1","36.0","1"
"/c%67%69.%63g%69/m%61i%6c%69%74.%70%6c","1","38.0","1"
"/scr%69p%74s/m%61%69%6ci%74.%70l","1","32.0","1"
"/cg%69%73/%2eac%63e%73%73","1","25.0","1"
"/%63%67%69%62%69n/.co%62%61%6c%74","1","33.0","1"
"/lib/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php","1","55.0","1"
"/c%67ibin/mrtg.cg%69","1","20.0","1"
"/c%6f%6e%74%65%6e%74s.%70hp","1","27.0","1"
"/what%65%76erS%73%32z.%68%74m%6c","1","32.0","1"
"/we%62car%74%2ford%65%72%73/%69%6d%70%6fr%74%2e%74%78t","1","54.0","1"
"/%74%79p%6f3c%6f%6e%66%2f%6c%6fc%61lco%6ef%2eph%70","1","50.0","1"
"/c%67%69-s%79%73/%4d%73m%4d%61sk%2ee%78%65","1","42.0","1"
"/_m%65m_%62in/%61%75o%63%6f%6e%66%69g%2e%61%73%70","1","49.0","1"
"/%74%72%61%63e%2e%61x%64","1","24.0","1"
"/%73cri%70%74%73%2fM%73%6dMa%73%6b.%65%78%65","1","44.0","1"
"/%63%67%69%73/M%73%6dMask%2eexe","1","31.0","1"
"/%63%67i-%39%31%34/%61%66.c%67%69","1","33.0","1"
"/for%75m/%61%64%6din%2f%64at%61ba%73e/%77wF%6f%72%75m.%6d%64%62","1","63.0","1"
"/%73%65%72%76%6cet/%77e%62ac%63","1","31.0","1"
"/c%67%69%2d91%34/se%61rch","1","25.0","1"
