event_time,source_ip,source_country,request_uri,terminatingruleid,action,country_code,rule_code,uri_len
20:08.0,247.37.99.221,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
24:32.1,49.119.149.104,NL,/,Allow-Only-Korea,BLOCK,1,1,10
27:14.6,32.119.75.119,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
42:13.1,249.77.68.171,US,/,Allow-Only-Korea,BLOCK,2,1,10
17:47.2,165.9.200.22,NL,/,Allow-Only-Korea,BLOCK,1,1,10
30:39.8,254.179.79.243,NL,/,Allow-Only-Korea,BLOCK,1,1,10
31:14.0,236.102.172.209,US,/,Allow-Only-Korea,BLOCK,2,1,10
36:30.6,156.235.33.154,NL,/,Allow-Only-Korea,BLOCK,1,1,10
20:08.0,179.178.114.135,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
24:32.1,56.215.106.184,NL,/,Allow-Only-Korea,BLOCK,1,1,10
27:14.6,148.125.158.152,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
42:13.1,233.180.79.222,US,/,Allow-Only-Korea,BLOCK,2,1,10
17:47.2,19.245.112.219,NL,/,Allow-Only-Korea,BLOCK,1,1,10
30:39.8,252.137.243.210,NL,/,Allow-Only-Korea,BLOCK,1,1,10
31:14.0,9.35.244.119,US,/,Allow-Only-Korea,BLOCK,2,1,10
36:30.6,22.207.41.160,NL,/,Allow-Only-Korea,BLOCK,1,1,10
20:08.0,31.29.89.10,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
24:32.1,68.138.219.64,NL,/,Allow-Only-Korea,BLOCK,1,1,10
27:14.6,216.127.180.130,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
42:13.1,164.109.83.127,US,/,Allow-Only-Korea,BLOCK,2,1,10
17:47.2,250.3.108.177,NL,/,Allow-Only-Korea,BLOCK,1,1,10
30:39.8,173.243.227.245,NL,/,Allow-Only-Korea,BLOCK,1,1,10
31:14.0,133.45.144.213,US,/,Allow-Only-Korea,BLOCK,2,1,10
36:30.6,11.7.108.86,NL,/,Allow-Only-Korea,BLOCK,1,1,10
20:08.0,168.165.194.146,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
24:32.1,252.245.192.178,NL,/,Allow-Only-Korea,BLOCK,1,1,10
27:14.6,84.233.38.130,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
42:13.1,11.91.153.194,US,/,Allow-Only-Korea,BLOCK,2,1,10
17:47.2,209.229.203.209,NL,/,Allow-Only-Korea,BLOCK,1,1,10
30:39.8,189.157.2.149,NL,/,Allow-Only-Korea,BLOCK,1,1,10
31:14.0,1.216.12.192,US,/,Allow-Only-Korea,BLOCK,2,1,10
36:30.6,119.44.5.220,NL,/,Allow-Only-Korea,BLOCK,1,1,10
20:08.0,133.6.58.245,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
24:32.1,201.61.201.35,NL,/,Allow-Only-Korea,BLOCK,1,1,10
27:14.6,79.196.31.138,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
42:13.1,53.222.230.233,US,/,Allow-Only-Korea,BLOCK,2,1,10
17:47.2,203.61.126.246,NL,/,Allow-Only-Korea,BLOCK,1,1,10
30:39.8,220.161.63.118,NL,/,Allow-Only-Korea,BLOCK,1,1,10
31:14.0,239.115.230.223,US,/,Allow-Only-Korea,BLOCK,2,1,10
36:30.6,102.81.124.37,NL,/,Allow-Only-Korea,BLOCK,1,1,10
20:08.0,216.109.48.11,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
24:32.1,72.196.175.251,NL,/,Allow-Only-Korea,BLOCK,1,1,10
27:14.6,67.88.118.183,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
42:13.1,187.189.15.11,US,/,Allow-Only-Korea,BLOCK,2,1,10
17:47.2,173.240.26.120,NL,/,Allow-Only-Korea,BLOCK,1,1,10
30:39.8,147.211.251.97,NL,/,Allow-Only-Korea,BLOCK,1,1,10
31:14.0,92.146.159.192,US,/,Allow-Only-Korea,BLOCK,2,1,10
36:30.6,197.211.210.196,NL,/,Allow-Only-Korea,BLOCK,1,1,10
20:08.0,209.127.152.20,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
24:32.1,137.71.39.188,NL,/,Allow-Only-Korea,BLOCK,1,1,10
27:14.6,224.141.150.192,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
42:13.1,162.106.183.151,US,/,Allow-Only-Korea,BLOCK,2,1,10
17:47.2,19.8.87.73,NL,/,Allow-Only-Korea,BLOCK,1,1,10
30:39.8,10.196.228.19,NL,/,Allow-Only-Korea,BLOCK,1,1,10
31:14.0,95.149.28.41,US,/,Allow-Only-Korea,BLOCK,2,1,10
36:30.6,33.232.182.39,NL,/,Allow-Only-Korea,BLOCK,1,1,10
20:08.0,14.238.189.71,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
24:32.1,135.169.227.11,NL,/,Allow-Only-Korea,BLOCK,1,1,10
27:14.6,118.78.233.22,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
42:13.1,152.116.118.8,US,/,Allow-Only-Korea,BLOCK,2,1,10
17:47.2,45.253.243.80,NL,/,Allow-Only-Korea,BLOCK,1,1,10
30:39.8,168.133.58.167,NL,/,Allow-Only-Korea,BLOCK,1,1,10
31:14.0,64.208.157.86,US,/,Allow-Only-Korea,BLOCK,2,1,10
36:30.6,131.95.25.154,NL,/,Allow-Only-Korea,BLOCK,1,1,10
20:08.0,2.199.167.125,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
24:32.1,151.10.235.234,NL,/,Allow-Only-Korea,BLOCK,1,1,10
27:14.6,220.147.103.54,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
42:13.1,166.182.195.32,US,/,Allow-Only-Korea,BLOCK,2,1,10
17:47.2,5.20.91.82,NL,/,Allow-Only-Korea,BLOCK,1,1,10
30:39.8,245.179.183.70,NL,/,Allow-Only-Korea,BLOCK,1,1,10
31:14.0,75.91.167.141,US,/,Allow-Only-Korea,BLOCK,2,1,10
36:30.6,249.70.166.80,NL,/,Allow-Only-Korea,BLOCK,1,1,10
20:08.0,215.97.25.154,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
24:32.1,71.254.45.124,NL,/,Allow-Only-Korea,BLOCK,1,1,10
27:14.6,234.220.227.252,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
42:13.1,131.231.93.2,US,/,Allow-Only-Korea,BLOCK,2,1,10
17:47.2,142.197.129.74,NL,/,Allow-Only-Korea,BLOCK,1,1,10
30:39.8,152.142.231.8,NL,/,Allow-Only-Korea,BLOCK,1,1,10
31:14.0,10.90.127.141,US,/,Allow-Only-Korea,BLOCK,2,1,10
36:30.6,147.193.55.246,NL,/,Allow-Only-Korea,BLOCK,1,1,10
20:08.0,206.86.152.201,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
24:32.1,211.14.213.67,NL,/,Allow-Only-Korea,BLOCK,1,1,10
27:14.6,6.125.201.151,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
42:13.1,27.69.143.175,US,/,Allow-Only-Korea,BLOCK,2,1,10
17:47.2,152.121.208.59,NL,/,Allow-Only-Korea,BLOCK,1,1,10
30:39.8,36.177.138.10,NL,/,Allow-Only-Korea,BLOCK,1,1,10
31:14.0,203.157.31.207,US,/,Allow-Only-Korea,BLOCK,2,1,10
36:30.6,254.95.50.27,NL,/,Allow-Only-Korea,BLOCK,1,1,10
20:08.0,232.100.113.35,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
24:32.1,32.54.56.246,NL,/,Allow-Only-Korea,BLOCK,1,1,10
27:14.6,49.130.164.237,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
42:13.1,28.211.217.192,US,/,Allow-Only-Korea,BLOCK,2,1,10
17:47.2,147.148.181.9,NL,/,Allow-Only-Korea,BLOCK,1,1,10
30:39.8,101.91.194.177,NL,/,Allow-Only-Korea,BLOCK,1,1,10
31:14.0,5.104.211.227,US,/,Allow-Only-Korea,BLOCK,2,1,10
36:30.6,39.219.242.225,NL,/,Allow-Only-Korea,BLOCK,1,1,10
20:08.0,51.197.14.86,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
24:32.1,189.8.7.67,NL,/,Allow-Only-Korea,BLOCK,1,1,10
27:14.6,236.193.159.187,KR,/,AWS-AWSManagedRulesSQLiRuleSet,BLOCK,0,0,10
42:13.1,54.75.125.77,US,/,Allow-Only-Korea,BLOCK,2,1,10
17:47.2,217.108.161.85,NL,/,Allow-Only-Korea,BLOCK,1,1,10
