event_time,source_ip,source_country,request_uri,terminatingruleid,action,country_code,rule_code,uri_len
16:25.4,14.40.36.34,KR,/dashboard,Default_Action,ALLOW,0,2,10
18:47.9,14.32.41.109,KR,/contact,Default_Action,ALLOW,0,2,8
45:58.6,14.40.93.151,KR,/api/v1/products,Default_Action,ALLOW,0,2,16
30:50.8,1.208.189.245,KR,/products/1,Default_Action,ALLOW,0,2,11
27:36.1,1.208.135.83,KR,/contact,Default_Action,ALLOW,0,2,8
26:50.8,14.32.89.40,KR,/products/2,Default_Action,ALLOW,0,2,11
37:48.4,125.128.216.73,KR,/logout,Default_Action,ALLOW,0,2,7
52:43.1,58.122.240.59,KR,/api/v1/products,Default_Action,ALLOW,0,2,16
09:24.5,1.209.3.144,KR,/static/css/main.css,Default_Action,ALLOW,0,2,20
47:57.1,14.32.82.50,KR,/checkout,Default_Action,ALLOW,0,2,9
42:09.9,1.208.173.249,KR,/profile,Default_Action,ALLOW,0,2,8
37:12.6,125.128.206.171,KR,/api/products,Default_Action,ALLOW,0,2,13
59:43.2,58.122.195.51,KR,/sitemap.xml,Default_Action,ALLOW,0,2,12
21:06.2,1.208.190.53,KR,/profile,Default_Action,ALLOW,0,2,8
56:33.6,14.40.217.249,KR,/api/health,Default_Action,ALLOW,0,2,11
24:57.4,58.120.0.196,KR,/dashboard,Default_Action,ALLOW,0,2,10
31:59.6,58.120.58.79,KR,/,Default_Action,ALLOW,0,2,1
31:18.0,58.122.30.32,KR,/products/3,Default_Action,ALLOW,0,2,11
03:47.3,58.120.174.180,KR,/api/health,Default_Action,ALLOW,0,2,11
57:29.1,1.208.235.95,KR,/,Default_Action,ALLOW,0,2,1
37:47.1,125.130.196.135,KR,/profile,Default_Action,ALLOW,0,2,8
21:57.3,58.122.65.229,KR,/search?q=shoes,Default_Action,ALLOW,0,2,15
25:00.7,125.128.55.22,KR,/,Default_Action,ALLOW,0,2,1
21:34.0,27.100.156.150,KR,/api/products/list,Default_Action,ALLOW,0,2,18
23:36.6,1.209.56.83,KR,/favicon.ico,Default_Action,ALLOW,0,2,12
26:26.9,27.96.241.240,KR,/search?q=phone,Default_Action,ALLOW,0,2,15
47:29.9,58.122.218.51,KR,/api/products/list,Default_Action,ALLOW,0,2,18
14:03.3,27.100.176.117,KR,/static/images/logo.png,Default_Action,ALLOW,0,2,23
56:17.7,125.128.241.167,KR,/api/v1/products,Default_Action,ALLOW,0,2,16
38:35.5,27.100.18.174,KR,/api/health,Default_Action,ALLOW,0,2,11
37:48.1,27.96.99.181,KR,/about,Default_Action,ALLOW,0,2,6
14:46.4,14.32.159.64,KR,/products/3,Default_Action,ALLOW,0,2,11
06:38.6,125.128.35.161,KR,/static/images/logo.png,Default_Action,ALLOW,0,2,23
15:54.3,27.96.106.125,KR,/dashboard,Default_Action,ALLOW,0,2,10
